# 日本語→手話タグ 訓練データ
# フォーマット: 日本語文[TAB]<タグ1> <タグ2> ... <タグN>
# タグ数: 1-5個
# 短い文から順に配置

# === 1語・2語の短文（基本表現） ===
はい	<はい>
いいえ	<いいえ>
ありがとう	<ありがとう>
おはよう	<朝> <挨拶>
こんにちは	<挨拶>
こんばんは	<夜> <挨拶>
おやすみ	<夜> <寝る>
さようなら	<挨拶>

# === 2-3語の文（主語+述語） ===
それはなんですか	<それ> <何>

# === 3-4語の文（動作・状態） ===
わたしはたべます	<私> <食べる>
わたしはのみます	<私> <飲む>
わたしはいきます	<私> <行く>
わたしはきます	<私> <来る>
わたしはみます	<私> <見る>
わたしはききます	<私> <聞く>
わたしはいいます	<私> <言う>
わたしはねます	<私> <寝る>
わたしはおきます	<私> <起きる>
わたしはあるきます	<私> <歩く>
わたしはすわります	<私> <座る>
わたしはたちます	<私> <立つ>
わたしはよみます	<私> <読む>
わたしはかきます	<私> <書く>

# === 4-5語の文（場所・時間） ===
わたしはいえにいきます	<私> <家> <行く>
わたしはがっこうにいきます	<私> <学校> <行く>
わたしはかいしゃにいきます	<私> <会社> <行く>
わたしはえきにいきます	<私> <駅> <行く>
あさごはんをたべます	<朝> <食べる>
ひるごはんをたべます	<昼> <食べる>
よるごはんをたべます	<夜> <食べる>

# === 感情・状態表現 ===
わたしはうれしいです	<私> <楽しい>
わたしはかなしいです	<私> <悲しい>
わたしはつらいです	<私> <辛い>
わたしはたのしいです	<私> <楽しい>
わたしはこわいです	<私> <怖い>
きょうはさむいです	<今> <寒い>
きょうはあついです	<今> <暑い>

# === 疑問文 ===
だれですか	<誰>
なんですか	<何>
どこですか	<どこ>
いつですか	<何時>
いくらですか	<いくら>
なぜですか	<なぜ>

# === 複雑な文（5語程度） ===
わたしはあしたがっこうにいきます	<明日> <私> <学校> <行く>
わたしはきのういえにいました	<昨日> <私> <家> <いる>
かれはきょうかいしゃにきます	<彼> <今> <会社> <来る>
かのじょはらいしゅうえきにきます	<彼女> <来週> <駅> <来る>
