# 日英対訳データセット（TSV形式）
# 日本語文[TAB]英語文

# 基本挨拶
こんにちは	hello
ありがとう	thank you
おはよう	good morning
さようなら	goodbye
おやすみ	good night
すみません	excuse me
どういたしまして	you are welcome
いただきます	bon appetit
ごちそうさま	thanks for the meal
よろしく	nice to meet you

# 基本表現
はい	yes
いいえ	no
わかりました	i understand
わかりません	i do not understand
おねがいします	please
たすけて	help me
だいじょうぶ	it is okay
ごめんなさい	i am sorry
がんばって	good luck
おめでとう	congratulations

# 自己紹介
わたしはがくせいです	i am a student
わたしはせんせいです	i am a teacher
わたしはにほんじんです	i am japanese
わたしはあめりかじんです	i am american
なまえはたろうです	my name is taro
わたしはとうきょうにすんでいます	i live in tokyo
わたしはにじゅっさいです	i am twenty years old

# 日常会話
きょうはいいてんきですね	it is good weather today
あめがふっています	it is raining
さむいですね	it is cold
あついですね	it is hot
おなかがすきました	i am hungry
のどがかわきました	i am thirsty
つかれました	i am tired
ねむいです	i am sleepy
げんきです	i am fine
うれしいです	i am happy

# 食事
あさごはんをたべました	i ate breakfast
ひるごはんをたべます	i will eat lunch
ばんごはんをつくります	i will cook dinner
すしがすきです	i like sushi
らーめんがすきです	i like ramen
おちゃをのみます	i drink tea
みずをください	please give me water
おいしいです	it is delicious
やさいをたべます	i eat vegetables
くだものがすきです	i like fruits

# 学校・勉強
がっこうにいきます	i go to school
としょかんにいきます	i go to the library
べんきょうします	i study
しゅくだいをします	i do homework
テストがあります	there is a test
ほんをよみます	i read books
かんじをおぼえます	i memorise kanji
えいごをならいます	i learn english
じゅぎょうがおわりました	class is over
せんせいにききます	i ask the teacher

# 家族・友達
かぞくとでかけます	i go out with my family
ともだちとあそびます	i play with my friends
ははがりょうりをします	my mother cooks
ちちはかいしゃいんです	my father is a company employee
あねがいます	i have an older sister
おとうとがいます	i have a younger brother
いぬをかっています	i have a dog
ねこがかわいいです	cats are cute
ともだちがたくさんいます	i have many friends
かぞくがすきです	i love my family

# 時間・予定
いまなんじですか	what time is it now
あさおきました	i woke up in the morning
よるねます	i sleep at night
あしたがっこうにいきます	i will go to school tomorrow
きのうやすみました	i rested yesterday
らいしゅうテストです	there is a test next week
まいにちべんきょうします	i study every day
ときどきえいがをみます	i sometimes watch movies
いつもはしります	i always run
もうすぐしゅうまつです	it is almost the weekend

# 場所・移動
えきにいきます	i go to the station
でんしゃにのります	i ride the train
バスでいきます	i go by bus
じてんしゃにのります	i ride a bicycle
あるいていきます	i walk
いえにかえります	i return home
こうえんであそびます	i play at the park
スーパーでかいものします	i shop at the supermarket
びょういんにいきます	i go to the hospital
がっこうはどこですか	where is the school

# 感情・状態
かなしいです	i am sad
たのしいです	it is fun
うれしかったです	i was happy
こわいです	i am scared
さびしいです	i am lonely
いたいです	it hurts
びょうきです	i am sick
げんきです	i am healthy
つかれました	i got tired
ねむいです	i am sleepy

# 動作
ほんをよみます	i read a book
えをかきます	i draw a picture
うたをうたいます	i sing a song
おんがくをききます	i listen to music
ダンスをおどります	i dance
ゲームをします	i play a game
サッカーをします	i play soccer
やまにのぼります	i climb a mountain
うみでおよぎます	i swim in the sea
しゃしんをとります	i take a photo

# 複雑な文
きのうはあめがふっていました	it was raining yesterday
あしたはがっこうにいきます	i will go to school tomorrow
まいにちあさごはんをたべます	i eat breakfast every day
ともだちとえいがをみました	i watched a movie with my friend
わたしはにほんごをべんきょうしています	i am studying japanese
このほんはとてもおもしろいです	this book is very interesting
きょうはあついですね	it is hot today
あめがふりそうです	it looks like it will rain
すしがすきですがさしみはにがてです	i like sushi but i do not like sashimi
がっこうがおわってからかえります	i will go home after school finishes

# 買い物
いくらですか	how much is it
これをください	i will take this
